tweet_id,tweet_created_at,source,original_text,tweet_favorite_count,retweet_count,hashtags,user_mentions,user_mentions_id,topic,keyword,emojis,possibly_sensitive,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,user_id,user_followers_count,user_listed_count,user_favourites_count,user_statuses_count,user_created_at,user_screen_name,place,latitude_corr,longitude_corr,place_coord_boundaries,retweet_tweet_id,retweet_user_id,retweet_user_screen_name,retweet_in_reply_to_screen_name,retweet_in_reply_to_status_id,retweet_in_reply_to_user_id
1295657280768225280,Tue Aug 18 09:42:22 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","On @realDonaldTrump's watch, 173,716 Americans have died from #COVID19 (22.3% of all deaths worldwide). That is about the same as 10,857 2015 San Bernardino attacks which killed 16 people in 2015: https://t.co/vfVpmpEL9C",0,19,COVID19,"COVID_Scale, realDonaldTrump","[908781126495305728, 25073877]",Technology,wikipedia,{},,,,,855594953011068928,72,0,9022,2306,Sat Apr 22 01:31:47 +0000 2017,tracy_merrick,"Fishers, IN",39.9555928,-86.0138729,,1.2956550355867156e+18,9.087811264953057e+17,COVID_Scale,1.2956550355867156e+18,,
1295657264997703680,Tue Aug 18 09:42:18 +0000 2020,"<a href=""http://www.enigmabrot.de"" rel=""nofollow"">OMG Wikipedia</a>","Shri Krishna, also known as Krishna, is a 1980 Indian Tamil-language film written and directed by A. Veerappan.",0,0,,,[],Technology,wikipedia,{},,,,,3169494832,188,32,0,43002,Wed Apr 15 09:37:22 +0000 2015,OMG_wikipedia,,,,,,,,,,
1295657224963084288,Tue Aug 18 09:42:09 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Send them to St. Kilda. Their “asylum” clams can then be assessed at our leisure.
https://t.co/glN2RsrE2a https://t.co/sL608bVrPL",0,0,,,[],Technology,wikipedia,{},False,,,,1081945529112821762,4150,54,6027,31604,Sun Jan 06 16:08:10 +0000 2019,KeillerDon,"Cambridge, England",52.2034823,0.1235817,,,,,,,
1295657183825350656,Tue Aug 18 09:41:59 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@LakesStiles @bedform @walkhikeaholic @Wikipedia @rach0907 @NorthernFell 😂 incredible.,0,0,,"LakesStiles, bedform, walkhikeaholic, Wikipedia, rach0907, NorthernFell","[979332267431677952, 267450541, 229778675, 86390214, 34895373, 1191989137840246784]",Technology,wikipedia,{'😂': 'face with tears of joy'},,1.2956566624817357e+18,9.79332267431678e+17,LakesStiles,143767748,2862,66,103160,73159,Fri May 14 10:13:29 +0000 2010,resophonick,"Cheshire,UK",53.2141028,-2.471770086071205,,,,,,,
1295657174694277120,Tue Aug 18 09:41:57 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","In your own words (ie. not Wikipedia), what is GBV?",0,3,,VieArem,[43703067],Technology,wikipedia,{},,,,,281049708,384,2,2123,30000,Tue Apr 12 14:38:20 +0000 2011,LoagoNOW,Africa,11.5024338,17.7578122,,1.295643850476839e+18,43703067.0,VieArem,1.295643850476839e+18,,
1295657174522376192,Tue Aug 18 09:41:57 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@EindhovenHammer @fennabahce_85 @SkySportsNews It’s historical from before the leagues existed as they do now, where transport for teams playing each other was difficult.
https://t.co/WBoxILiEOl",0,0,,"EindhovenHammer, fennabahce_85, SkySportsNews","[2825975485, 23375654, 108568373]",Technology,wikipedia,{},False,1.2956532118529393e+18,2825975485.0,EindhovenHammer,752763080,102,0,2208,1525,Sun Aug 12 08:50:51 +0000 2012,LizRoboDixon,"Derby, England",52.9212617,-1.4761491,,,,,,,
1295657171913527296,Tue Aug 18 09:41:56 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Great point! Many others should clearly be acknowledged for this victory and many others, past and future, to be achieved! For example https://t.co/F74M3YiZ74 https://t.co/LaQSEQYbWW",0,2,,KristinLauter,[2896124082],Technology,wikipedia,{},,,,,1041827489524330497,257,4,125,820,Mon Sep 17 23:13:24 +0000 2018,awmadvance,,,,,1.295621850647507e+18,2896124082.0,KristinLauter,1.295621850647507e+18,,
1295657124916150272,Tue Aug 18 09:41:45 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@NPK525 @abhi1thakur Granted weight don't vanish. Gradient does. But neurones are functions which uses a mathematical func to transform inp -&gt; out

""neural network's weights receive an update proportional to the partial derivative of the error function with respect to the current weight"" ~Wikipedia",0,0,,"NPK525, abhi1thakur","[911152925027659776, 95807398]",Technology,wikipedia,{},,1.2956424871978435e+18,9.111529250276598e+17,NPK525,2930025222,25,1,6405,300,Sun Dec 14 16:29:06 +0000 2014,amit_jha6700,India,22.3511148,78.6677428,,,,,,,
1295657120373841921,Tue Aug 18 09:41:44 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","On @realDonaldTrump's watch, 173,716 Americans have died from #COVID19 (22.3% of all deaths worldwide). That is about the same as 10,857 2015 San Bernardino attacks which killed 16 people in 2015: https://t.co/vfVpmpEL9C",0,19,COVID19,"COVID_Scale, realDonaldTrump","[908781126495305728, 25073877]",Technology,wikipedia,{},,,,,273963328,9850,7,58045,54045,Tue Mar 29 13:25:44 +0000 2011,lourdes9851,,,,,1.2956550355867156e+18,9.087811264953057e+17,COVID_Scale,1.2956550355867156e+18,,
1295657114212474880,Tue Aug 18 09:41:42 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Daily Mail is banned by Wikipedia as source for ""poor fact checking... and flat-out fabrication"" and Microsoft's fact-check plugin tool warns Daily Mail ""fails basic standards of accuracy and accountability""

If you read the Daily Mail you are, by definition, misinformed.",0,4695,,RussInCheshire,[498753368],Technology,wikipedia,{},,,,,585977193,334,4,19930,12587,Sun May 20 18:47:53 +0000 2012,youraveragejose,,,,,1.1965398626456453e+18,498753368.0,RussInCheshire,1.1965398626456453e+18,,
